instrument,exchange,tm,value,type,timeinterval
BTCUSDT,binance,2022/2/17 21:21,75114.11,,minutes
BTCUSDT,binance,2022/2/17 21:20,75094.155,,minutes
BTCUSD_PERP,binance,2022/2/17 21:20,8243424,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:19,8247725,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:19,75021.807,,minutes
BTCUSDT,binance,2022/2/17 21:18,75198.231,,minutes
BTCUSD_PERP,binance,2022/2/17 21:18,8249748,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:17,8257965,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:17,75118.202,,minutes
BTCUSDT,binance,2022/2/17 21:16,75099.755,,minutes
BTCUSD_PERP,binance,2022/2/17 21:16,8255588,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:15,8255084,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:15,75137.906,,minutes
BTCUSDT,binance,2022/2/17 21:14,75073.519,,minutes
BTCUSD_PERP,binance,2022/2/17 21:14,8254844,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:13,8268775,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:13,75156.54,,minutes
BTCUSDT,binance,2022/2/17 21:12,75102.825,,minutes
BTCUSD_PERP,binance,2022/2/17 21:12,8243827,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:11,8247398,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:11,75430.266,,minutes
BTCUSDT,binance,2022/2/17 21:10,75361.709,,minutes
BTCUSD_PERP,binance,2022/2/17 21:10,8240866,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:09,8305931,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:09,75507.352,,minutes
BTCUSDT,binance,2022/2/17 21:08,75729.26,,minutes
BTCUSD_PERP,binance,2022/2/17 21:08,8297750,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:07,8298458,PERPETUAL,minutes
